#separator:tab
#html:false
#deck column:1
#tags column:4
#columns:Deck	Front	Back	Tags
認知脳科学::02_導入・序論	認知脳科学を構成する3学問と由来は？	心理学（人文学・哲学）／脳科学（生理学・神経科学・生物学）／認知科学（計算機科学・情報学）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	一元論と二元論の違いは？	一元論＝こころは脳が作り出す／二元論＝こころと脳は別物	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	デカルトが心身の相互作用の場とした部位は？	松果体	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	「動物に心は介在しない」という考えを何と呼ぶ？	動物機械論	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	固定記憶・作業記憶・中央実行系の計算機対応は？	HDD/SSD ／ RAM ／ CPU	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	感覚貯蔵庫→短期→長期のモデルと提唱者は？	二重貯蔵モデル（Atkinson & Shiffrin, 1968）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	ワーキングメモリ古典モデルの構成要素は？	中央実行系・視空間スケッチパッド・エピソードバッファ・音韻ループ	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	前肢のように形は違うが由来が同じ構造を何と呼ぶ？	相同（そうどう）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	霊長類の特徴を4つ挙げよ。	樹上への適応／把握力（平爪）／立体視／色覚の再獲得（＋嗅覚の退行）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	初期霊長類の進化はおよそ何年前から？	約6500万年前（65 Mya）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	現生人類の学名と、絶滅した人類の呼称は？	Homo sapiens ／ 化石人類	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	Homo属の脳拡大の機能的説明で有名な説は？	社会認知の説	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	「食べる」「食べた」「見た」は計測可能だが、計測が困難な例は？	「食べたい」「甘そう」といった主観的な内的状態	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	「心は本人しか観察できない」というデカルトが提起した問題は？	内観の問題	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	デカルトによれば、身体は何を通じて環境の情報を得ているか？	感覚器官	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	認知科学的立場では、認知（cognition）を何と捉えるか？	計算・演算（computation）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	二重貯蔵モデルでは、短期記憶は何の前段階であると仮定するか？	長期記憶（長期貯蔵庫）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	ワーキングメモリの古典モデルの提唱者と年は？	Baddeley & Hitch, 1974 ／ Baddeley, 2000	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	ワーキングメモリモデルが別々と捉える2つの機能は？	記憶の保持（Memory）と課題の実行（Executive）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	生物学的立場が基本とする心身観はどちらか？	一元論	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	解剖学の知見で言及される、動物の脳の部分的切除を行った人物は？	Paul Broca（1824–1880）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	身体構造を設計している進化的原理を英語で何というか？	自然淘汰（natural selection）	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	相同の例として挙げられる、由来が同じ動物の前肢は？	ヒト・コウモリ・クジラ・イヌの前肢	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	霊長類で立体視の能力上昇をもたらした眼の変化は？	眼窩軸の収斂	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	原猿から真猿への過程で生活時間帯はどう変化したか？	夜行性（原猿）から昼行性（真猿）へ	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	初期霊長類の代表とされる類と、その生態は？	プレシアダピス類。木の幹をよじ登る夜行性の小動物	認知脳科学 第02回_導入序論
認知脳科学::02_導入・序論	霊長類の脳が大きいというのは、何に対する相対サイズか？	体重に対する相対サイズ	認知脳科学 第02回_導入序論
認知脳科学::03_脳の基本的構造	ニューロンで信号を「受け取る」アンテナの役割をする部位は？	樹状突起（dendrite）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	軸索を包み、電気信号の伝導速度を飛躍的に上げる絶縁性のカバーを何という？	ミエリン鞘（髄鞘）。切れ目をランヴィエの絞輪といい、跳躍伝導が起きる	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	シナプスでは信号がどのように変換されて伝わるか？	電気信号→化学物質（神経伝達物質）→再び電気信号。隙間があることで一方向化・強さの調節ができる	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	熱いものに触れたとき、知覚に昇る前に腕を引っ込める反応を何という？	脊髄反射（大脳へ情報が伝わる前に運動出力される）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	神経軸に対して垂直に輪切りにする断面の名称は？	冠状面（前額面／Coronal）・横断面（Transverse）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	神経軸に並行に左右に切る断面と、上下に切る断面をそれぞれ何という？	左右＝矢状面（Sagittal）、上下＝水平面（Horizontal）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	脳を前方から3つの大区分に分けると？	前脳（Forebrain）・中脳（Midbrain）・菱脳（Hindbrain）	認知脳科学 第03回_脳の基本的構造
認知脳科学::03_脳の基本的構造	前脳の2つの下位区分と、それぞれの主要構造は？	終脳（大脳皮質・大脳基底核・辺縁系）と間脳（視床・視床下部）	認知脳科学 第03回_脳の基本的構造
